Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 MENTZEN Sławomir Jerzy;2 URBANIAK Michał Piotr;3 PRUŚ Sylwester Zbigniew;4 BREWIAK Grażyna;5 STUPKIEWICZ Magdalena;6 LIPINSKA-BEHRENDT Martyna Elżbieta;7 ŚWIECZKOWSKA Iwona Gabriela;8 KRZYWKOWSKI Marcin Piotr;9 DRANIEWICZ Karol Łukasz;10 DZIAMBOR Artur Erwin;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 MACIEJEWSKA Beata Monika;2 RUTKA Marek Andrzej;3 BIEDROŃ Adriana Maria;4 JAROSZ Maciej;5 GRACZYK Ewa Elżbieta;6 JASIONEK Henryk Jacek;7 OCHOCKA Iwona;8 BYLICA Bartosz;9 SZUBIŃSKA Bożena Leokadia;10 LAMENTOWICZ Wojciech;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 LEWANDOWSKI Janusz Antoni;2 ADAMOWICZ Magdalena;3 TRAWICKI Krzysztof Gabriel;4 JACHLEWSKA Elżbieta;5 FURGO Grzegorz Witold;6 LIEDER Ewa;7 POPOWSKA Magdalena Maria;8 PIETRZAK Anna Grażyna;9 KALINOWSKA Jolanta Maria;10 WAŁĘSA Jarosław Leszek;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 FOTYGA Anna Elżbieta;2 SELLIN Jarosław Daniel;3 SIKORA Danuta Teresa;4 MÜLLER Piotr Józef;5 SZYMAŃSKI Antoni;6 KURZELEWSKA Arleta;7 BIAŁOOKA-KOSTENECKA Danuta Jadwiga;8 RABENDA Karol Kazimierz;9 DEMSKI Patryk Jerzy;10 ŁUCZYK Mariusz Wojciech;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 GÓRSKA Anna;2 KOWALCZUK Łukasz;3 SOBAŃSKA Joanna Małgorzata;4 BONIECKI Łukasz Michał;5 HASKA Karolina;6 SZCZEPAŃSKI Adam Aleksander;7 PRUSSAK Sara Maria;8 ANDRZEJEWSKI Szymon Tomasz;9 PRUSINOWSKA Magdalena;10 LUBIEWSKI Adam Marek;Razem;Lista nr 6 - KWW KUKIZ'15;1 KOBYLARZ Andrzej Sławomir;2 BŁASZCZYK Anna;3 LUTY Jerzy;4 DUDEK Dorota;5 POMIRSKA Zofia Małgorzata;6 RODZIEWICZ-KLAWIŃSKA Jolanta Ewa;7 PIĄTKOWSKA Andżelika Ewa;8 HAMADYK Łukasz Mariusz;9 KLAWITER Jan Andrzej;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 ZBOROWSKI Maciej;2 KNUTH Maciej;3 JANOWICZ Kamila Marta;4 WIŚNIEWSKI Radosław Andrzej;5 PAWEŁCZAK Barnaba Bogusz;6 STRUK Anna Marta;7 WARDA Małgorzata Maja;8 MAKRENEK Helena Cecylia;9 DOMŻALSKA Elżbieta Maria;10 GRAJKOWSKI Piotr;Razem
220101;1;wieś;stały;"Gminna Biblioteka i Ośrodek Kultury w Borzytuchomiu, ul. Danuty Siedzikówny ""Inki"" 2, 77-141 Borzytuchom";gm. Borzytuchom;bytowski;pomorskie;1199;1583;1583;0;651;548;548;0;0;0;0;0;0;0;0;0;0;549;0;0;549;9;6;3;0;540;20;12;3;0;4;0;0;1;0;0;0;20;56;13;8;21;4;5;0;3;0;1;1;56;193;56;103;0;0;0;0;0;3;2;29;193;247;170;32;14;5;7;3;1;0;4;11;247;8;5;0;1;0;0;0;2;0;0;0;8;12;4;1;3;2;1;0;0;0;1;12;4;3;0;1;0;0;0;0;0;0;0;4
220101;2;wieś;stały;Sala wiejska, Dąbrówka 22, 77-100 Bytów;gm. Borzytuchom;bytowski;pomorskie;349;463;462;1;196;154;153;1;0;0;0;0;0;0;0;0;0;154;0;0;154;1;0;1;0;153;3;1;1;1;0;0;0;0;0;0;0;3;10;4;0;5;0;0;0;1;0;0;0;10;73;15;44;2;1;0;0;0;1;1;9;73;61;33;5;8;11;0;0;0;0;0;4;61;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2
220101;3;wieś;stały;Szkoła Podstawowa, Niedarzyno 21b, 77-141 Borzytuchom;gm. Borzytuchom;bytowski;pomorskie;319;424;424;0;166;153;153;0;0;0;0;0;0;0;0;0;0;153;0;0;153;0;0;0;0;153;5;3;1;0;0;0;0;1;0;0;0;5;12;3;0;6;0;0;1;0;1;0;1;12;64;19;36;0;0;0;0;0;0;0;9;64;62;29;9;6;6;6;0;0;1;3;2;62;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;1;0;0;0;1;0;8;2;2;0;0;0;0;0;0;0;0;0;2
220102;1;miasto;stały;Zespół Szkół Ogólnokształcących, ul. Gdańska 57, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;1180;1550;1550;0;396;784;784;0;1;2;0;0;0;0;0;0;0;784;0;0;784;6;1;5;0;778;17;8;5;0;1;0;0;0;2;0;1;17;55;27;6;12;4;0;1;3;1;0;1;55;327;111;179;1;0;0;0;0;0;0;36;327;352;230;59;30;7;6;2;3;2;2;11;352;4;2;0;0;2;0;0;0;0;0;0;4;22;8;5;1;1;1;0;1;0;5;22;1;0;0;0;0;0;0;0;0;0;1;1
220102;2;miasto;stały;Zespół Szkół Ponadgimnazjalnych, ul. Gen. Władysława Sikorskiego 35, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;1062;1392;1392;0;463;599;599;0;0;6;0;0;0;0;0;0;0;599;0;0;599;6;4;2;0;593;33;23;7;0;0;1;0;0;0;1;1;33;38;13;8;11;3;1;0;2;0;0;0;38;291;100;153;1;0;0;1;0;0;0;36;291;215;149;39;7;6;9;0;1;2;0;2;215;0;0;0;0;0;0;0;0;0;0;0;0;11;6;2;1;1;0;0;0;0;1;11;5;2;0;0;0;1;0;0;0;0;2;5
220102;3;miasto;stały;Przedszkole Nr 2, ul. Jana Bauera 9, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;730;965;965;0;385;345;345;0;0;0;0;0;0;0;0;0;0;345;0;0;345;0;0;0;0;345;13;10;0;1;0;0;0;0;0;2;0;13;40;15;7;16;1;0;0;0;0;0;1;40;160;52;80;0;1;1;0;2;1;2;21;160;122;91;10;4;7;2;2;0;0;1;5;122;3;1;1;0;1;0;0;0;0;0;0;3;7;4;0;0;0;0;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0
220102;4;miasto;stały;Szkoła Podstawowa Nr 5, ul. Młyńska 11, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;1047;1373;1373;0;512;535;535;0;0;0;0;0;0;0;0;0;0;535;0;0;535;5;4;1;0;530;9;4;0;1;0;1;1;0;2;0;0;9;34;15;3;11;1;0;0;2;0;0;2;34;231;65;119;1;0;0;0;1;1;0;44;231;227;140;41;10;19;5;1;3;0;3;5;227;10;8;0;0;2;0;0;0;0;0;0;10;15;9;1;1;0;0;0;0;1;3;15;4;1;0;0;0;1;0;0;0;2;0;4
220102;5;miasto;stały;Zespół Szkół Ekonomiczno-Usługowych, ul. Hieronima Derdowskiego 3, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;1012;1326;1326;0;455;557;557;0;0;0;0;0;0;0;0;0;0;557;0;0;557;6;6;0;0;551;24;10;6;5;0;0;1;0;1;0;1;24;33;16;1;9;0;2;0;3;1;1;0;33;236;76;120;0;0;0;1;0;1;1;37;236;240;150;32;18;18;10;0;1;2;0;9;240;5;4;1;0;0;0;0;0;0;0;0;5;7;3;2;0;0;0;0;1;1;0;7;6;5;0;0;0;0;0;0;0;0;1;6
220102;6;miasto;stały;Szkoła Specjalnego Ośrodka Szkolno-Wychowawczego, ul. Jana Styp-Rekowskiego 2A, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;923;1203;1203;0;348;575;575;0;2;2;0;0;0;0;0;0;0;575;0;0;575;2;1;1;0;573;25;10;6;4;0;0;0;1;0;2;2;25;37;22;4;7;0;2;0;0;0;0;2;37;323;100;160;5;1;0;2;2;0;0;53;323;173;107;39;4;14;2;0;1;0;0;6;173;1;0;0;0;0;1;0;0;0;0;0;1;9;5;0;1;1;0;0;0;0;2;9;5;2;0;0;0;0;1;0;0;2;0;5
220102;7;miasto;stały;Szkoła Podstawowa Nr 1, ul. Gen. Ludwika Mierosławskiego 7, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;759;998;998;0;290;469;469;0;0;4;0;0;0;0;0;0;0;469;0;0;469;4;3;1;0;465;21;13;2;4;0;0;0;1;1;0;0;21;44;21;4;12;3;2;0;2;0;0;0;44;211;56;108;2;1;1;0;0;1;1;41;211;165;91;44;7;9;3;0;0;0;0;11;165;11;6;0;2;2;0;0;0;1;0;0;11;9;5;0;2;0;0;0;0;0;2;9;4;2;2;0;0;0;0;0;0;0;0;4
