Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 WINNICKI Robert Artur;2 LISIECKI Piotr Cezary;3 MICHALEWICZ Joanna;4 STYPKA Maciej;5 MOSHECHKOVA Lilija;6 GOŁĘBIEWSKA Paulina;7 GONTARSKA Marzanna;8 WYRĘBEK Andrzej Piotr;9 KIEŁCZEWSKI Adam;10 SAWICKI Marcin;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 FALEJ Monika Walentyna;2 GROMADZKI Sławomir;3 DZIK Katarzyna Helena;4 KRUTUL Paweł;5 OLKOWSKA Małgorzata;6 AMBROZIAK Piotr Robert;7 FALKOWSKA Agnieszka;8 LEWCZUK Tomasz;9 MURAWKO Elżbieta;10 TARASIEWICZ Sława Iwona;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 FRANKOWSKI Tomasz;2 PASŁAWSKA Urszula Stefania;3 MAŃKUT Władysław;4 WOJCIECHOWSKA Anna;5 KAMIŃSKA Bożena;6 MICHALSKA Joanna Klaudia;7 NOWAK Tadeusz Zenon;8 DEN Jolanta;9 BOŁTRYK Marcin;10 PROTAS Jacek;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 KARSKI Karol Adam;2 JURGIEL Krzysztof;3 ARENT Iwona Ewa;4 KIEROZALSKI Grzegorz;5 KARPOWICZ Joanna;6 ŻALEK Justyna Emilia;7 KOSSAKOWSKI Wojciech;8 CYMAŃSKI Tadeusz;9 ANDRUSZKIEWICZ Jolanta Wiesława;10 ŁANCZKOWSKI Romuald;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 GRUCELA Bartosz;2 ROSIŃSKA Katarzyna Ewa;3 PROKOPIUK Seweryn;4 MATUSZEWSKA-BORUC Małgorzata Emilia;5 BIRGIEL Marcin;6 BARTKOWSKA Emilia;7 GULCZYŃSKI Marcin;8 WYSOCKA Kamila Maria;9 ARTYSIEWICZ Michalina Daria;10 KOLIŃSKI Robert;Razem;Lista nr 6 - KWW KUKIZ'15;1 MACIEJEWSKI Andrzej;2 JANKOWSKA Wanda;3 REMBELSKI Stefan Bolesław;4 DYMKO Łukasz;5 ROSZIG Agnieszka;6 PŁOŃSKA Wiesława Bożenna;7 DĄBROWSKA Ewa Alicja;8 OJDANA Alina;9 JASKÓŁOWSKI Paweł;10 KOPKO Janusz;Razem
200101;1;miasto;stały;Szkoła Podstawowa Nr 6 w Augustowie, ul. Tartaczna 21, 16-300 Augustów;m. Augustów;augustowski;podlaskie;679;878;878;0;351;328;328;0;0;3;0;0;0;0;0;0;0;328;0;0;328;5;4;1;0;323;22;13;5;0;0;0;0;0;1;2;1;22;16;13;0;2;0;0;1;0;0;0;0;16;90;46;9;1;2;29;1;0;2;0;0;90;172;94;60;2;0;1;5;1;5;0;4;172;6;3;1;0;0;0;0;0;1;0;1;6;17;10;2;1;0;0;0;0;1;0;3;17
200101;2;miasto;stały;"Augustowskie Towarzystwo Budownictwa Społecznego ""Kodrem"" w Augustowie, ul. Komunalna 2, 16-300 Augustów";m. Augustów;augustowski;podlaskie;852;1142;1142;0;424;428;428;0;1;33;0;0;0;0;0;0;0;428;0;0;428;5;4;1;0;423;23;18;0;1;0;0;1;0;1;1;1;23;28;11;3;2;4;1;0;1;1;1;4;28;141;85;19;2;4;26;2;1;1;0;1;141;207;120;54;2;0;0;2;2;17;4;6;207;9;2;4;0;0;0;0;0;2;1;0;9;15;10;1;0;2;0;2;0;0;0;0;15
200101;3;miasto;stały;Augustowskie Centrum Edukacyjne w Augustowie, Al. Kardynała Wyszyńskiego 3, 16-300 Augustów;m. Augustów;augustowski;podlaskie;563;795;795;0;174;389;389;0;2;17;0;0;0;0;0;0;0;389;0;0;389;0;0;0;0;389;18;15;0;0;0;0;1;0;1;0;1;18;7;3;1;2;0;0;0;0;1;0;0;7;154;94;15;4;2;35;0;0;1;1;2;154;192;118;38;0;1;1;1;3;13;3;14;192;4;1;0;0;0;1;0;0;2;0;0;4;14;7;0;0;3;1;0;0;0;0;3;14
200101;4;miasto;stały;Kompleks Hotelowy LOGOS w Augustowie, ul. 29 Listopada 9, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1332;1776;1776;0;660;672;672;0;3;21;0;0;0;0;0;0;0;672;0;0;672;5;1;4;0;667;26;17;1;2;1;0;1;0;0;1;3;26;23;14;1;1;0;1;1;1;2;2;0;23;229;123;23;3;5;64;2;0;5;1;3;229;363;167;138;7;1;3;3;7;22;3;12;363;6;0;2;1;0;0;3;0;0;0;0;6;20;13;0;1;1;0;2;1;0;0;2;20
200101;5;miasto;stały;Przedszkole Nr 1 w Augustowie, ul. Waryńskiego 57, 16-300 Augustów;m. Augustów;augustowski;podlaskie;868;1152;1152;0;407;461;461;0;0;5;0;0;0;0;0;0;0;461;0;0;461;4;3;1;0;457;26;19;2;1;1;0;1;0;1;1;0;26;8;3;0;2;0;0;0;2;1;0;0;8;150;87;25;0;4;27;2;0;0;1;4;150;251;160;67;3;1;2;3;1;6;2;6;251;3;0;2;0;0;0;0;0;1;0;0;3;19;11;1;0;5;0;0;1;0;0;1;19
200101;6;miasto;stały;Siedziba Urzędu Stanu Cywilnego w Augustowie, ul. 3 Maja 49, 16-300 Augustów;m. Augustów;augustowski;podlaskie;430;588;588;0;173;257;257;0;0;24;0;0;0;0;0;0;0;257;0;0;257;2;2;0;0;255;8;6;0;0;0;0;0;0;0;1;1;8;5;3;1;0;0;1;0;0;0;0;0;5;93;58;11;0;3;21;0;0;0;0;0;93;137;80;42;1;0;3;1;2;4;0;4;137;2;1;1;0;0;0;0;0;0;0;0;2;10;6;1;0;0;0;1;1;1;0;0;10
200101;7;miasto;stały;Powiatowy Zarząd Dróg w Augustowie, ul. Wojska Polskiego 54, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1850;2459;2459;0;871;979;979;0;0;2;0;0;0;0;0;0;0;979;0;0;979;8;4;4;0;971;46;30;2;2;1;0;4;1;2;3;1;46;44;15;5;6;1;0;1;5;2;4;5;44;364;218;48;5;5;80;1;1;2;0;4;364;449;280;116;4;0;2;7;7;20;4;9;449;19;7;5;3;0;0;0;0;1;0;3;19;49;30;8;1;4;1;1;0;0;3;1;49
200101;8;miasto;stały;Osiedlowy Dom Kultury w Augustowie, ul. Hoża 2b, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1951;2541;2541;0;945;1006;1006;0;2;7;0;0;0;0;0;0;0;1006;0;0;1006;7;2;5;0;999;30;24;0;1;0;0;2;1;0;0;2;30;40;18;2;3;7;3;3;1;3;0;0;40;357;193;39;1;8;105;4;1;1;2;3;357;526;271;188;5;3;5;9;7;24;8;6;526;16;4;3;2;1;1;1;0;2;0;2;16;30;14;6;0;1;2;4;1;2;0;0;30
200101;9;miasto;stały;Centrum Sportu i Rekreacji w Augustowie, ul. mjr. H. Sucharskiego 15, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1128;1480;1480;0;597;531;531;0;0;6;0;0;0;0;0;0;0;531;0;0;531;5;1;4;0;526;16;9;0;3;2;0;0;0;0;1;1;16;32;14;2;2;2;2;2;2;1;5;0;32;206;134;20;1;5;43;1;0;0;0;2;206;230;134;67;2;1;2;3;3;11;6;1;230;11;4;3;0;0;0;1;0;1;0;2;11;31;21;2;0;1;0;3;1;0;0;3;31
200101;10;miasto;stały;Zespół Szkół Ogólnokształcących w Augustowie, ul. Śródmieście 31, 16-300 Augustów;m. Augustów;augustowski;podlaskie;760;1006;1006;0;349;411;411;0;0;0;0;0;0;0;0;0;0;411;0;0;411;2;1;1;0;409;9;8;0;1;0;0;0;0;0;0;0;9;11;5;2;1;0;0;0;0;1;2;0;11;147;85;20;0;3;37;0;0;1;1;0;147;226;110;93;1;1;3;2;6;6;2;2;226;1;0;0;1;0;0;0;0;0;0;0;1;15;11;1;0;0;1;2;0;0;0;0;15
