Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 BOSAK Krzysztof;2 KULESZA Jakub;3 PAZIO Rafał Piotr;4 ROSS Sebastian;5 KRAJSKI Stanisław;6 PISKORZ Monika Beata;7 PAMIĘTA Marta;8 KRAJEWSKA Zuzanna Maria;9 KRZYSZTOFIK Joanna;10 JAKUBIAK Marek;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 BIEDROŃ Robert;2 SCHEURING-WIELGUS Joanna Izabela;3 PŁATEK Monika Stanisława;4 TRACZYK Adam Paweł;5 BUŹNIAK Sylwia Lidia;6 TARCZYŃSKA Anna Małgorzata;7 PELC Filip Tadeusz;8 KUBIAK Jacek Zbigniew;9 BRAITER Katarzyna Anna;10 GAWKOWSKI Krzysztof Kamil;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 CIMOSZEWICZ Włodzimierz;2 HALICKI Andrzej Witold;3 GASIUK-PIHOWICZ Kamila;4 HÜBNER Danuta Maria;5 BONI Michał Jan;6 ZIELIŃSKA Urszula Sara;7 PUDŁOWSKI Paweł Patryk;8 KALATA Edyta Teresa;9 BRZEZIŃSKA Anna Katarzyna;10 BARTOSZEWSKI Władysław Teofil;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 SARYUSZ-WOLSKI Jacek Emil;2 CZARNECKI Ryszard Henryk;3 RADZIWIŁŁ Konstanty;4 CZERWIŃSKA Anita;5 GRYGLAS Zbigniew;6 TOMASZEWSKA Ewa;7 SMIRNOW Andrzej;8 KALETA Sebastian Jerzy;9 CHOROSIŃSKA Dominika Małgorzata;10 WYPYCH Małgorzata Maria;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 ZANDBERG Adrian Tadeusz;2 NOSAL-IKONOWICZ Agata Alina;3 KUCZYŃSKA Urszula Teresa;4 WRÓBLEWSKI Giedymin;5 TOFIL-SŁAWUSZEWSKA Anna Maria;6 BIEJAT Magdalena Agnieszka;7 MIERZWA Michał Mikołaj;8 WICHA Joanna Beata;9 WALCZYŃSKI Hubert Michał;10 GRODZKA Anna;Razem;Lista nr 6 - KWW KUKIZ'15;1 TYSZKA Stanisław;2 RZYMKOWSKI Tomasz Piotr;3 TANAJNO Paweł Jan;4 WITKOWSKA Agata Joanna;5 GŁOWACKA Ewa Katarzyna;6 OLSZEWSKA Mariola Aneta;7 MODZELEWSKI Jarosław;8 WOJAKOWSKA Magdalena Maria;9 BORKOWSKI Łukasz Jan;10 JOŃCZYK Łukasz;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 GWIAZDOWSKI Robert Andrzej;2 CZERWIŃSKA Ewa Barbara;3 STECZOWICZ Bartłomiej Aleksander;4 ADAMKIEWICZ Marcin Piotr;5 MELAK Zofia Emilia;6 STAŃCZUK Dunia;7 MATYJASIAK Wojciech Robert;8 BEKIER Bartłomiej Maksymilian;9 SOWIŃSKA-KOBELAK Dorota;10 ŻMIJEWSKI Bogdan;Razem
140501;1;miasto;stały;Szkoła Podstawowa nr 2, ul. Literacka 20, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1144;1464;1464;0;249;895;895;0;1;15;0;0;0;0;0;0;0;895;0;0;895;4;1;3;0;891;18;14;1;0;0;0;0;1;1;0;1;18;99;68;11;18;1;0;0;1;0;0;0;99;465;129;88;64;126;21;5;1;0;7;24;465;252;100;81;24;23;2;3;0;6;9;4;252;11;8;0;1;0;0;0;0;0;0;2;11;32;24;3;0;0;2;1;0;0;2;0;32;14;11;1;0;0;1;0;0;0;0;1;14
140501;2;miasto;stały;Zespół Szkół nr 2 im. gen. J. Bema, ul. Wójtowska 3, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1372;1788;1785;3;330;1042;1041;1;0;8;28;27;0;0;0;0;27;1069;27;0;1069;2;1;1;0;1067;43;24;6;0;2;2;1;1;2;0;5;43;99;75;12;4;0;1;0;4;1;0;2;99;488;139;117;70;100;24;8;3;5;2;20;488;378;154;101;52;19;2;6;2;10;26;6;378;16;13;0;1;0;0;0;0;2;0;0;16;30;18;2;4;3;0;1;1;1;0;0;30;13;9;2;0;0;0;1;0;0;0;1;13
140501;3;miasto;stały;Szkoła Podstawowa Nr 3, ul. Żabie Oczko 1, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1730;2233;2233;0;345;1385;1385;0;3;5;1;1;0;0;0;0;1;1386;1;0;1386;4;1;3;0;1382;83;46;3;1;1;6;3;3;1;2;17;83;135;86;17;23;1;1;1;1;0;1;4;135;605;157;123;103;145;26;5;6;2;3;35;605;457;194;132;47;28;1;12;2;17;17;7;457;18;10;1;4;1;0;0;0;1;0;1;18;53;31;12;0;3;1;0;1;1;2;2;53;31;25;1;0;0;2;2;0;1;0;0;31
140501;4;miasto;stały;Ochotnicza Straż Pożarna, ul. Warszawska 18, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1118;1606;1602;4;123;995;993;2;2;3;0;0;0;0;0;0;0;995;0;0;995;1;1;0;0;994;38;19;4;1;0;3;1;0;1;0;9;38;89;63;7;18;1;0;0;0;0;0;0;89;471;145;88;83;103;17;1;2;3;1;28;471;326;140;86;48;10;8;3;1;8;17;5;326;21;13;2;2;0;0;0;0;1;0;3;21;23;16;1;1;2;1;0;1;0;1;0;23;26;18;0;2;2;0;1;2;0;1;0;26
140501;5;miasto;stały;Klub G. S. M., ul. Brzozowa 7, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1502;1968;1968;0;438;1064;1064;0;3;8;2;2;0;0;0;0;2;1066;2;0;1066;4;3;1;0;1062;52;29;6;1;0;3;0;2;0;0;11;52;71;56;3;5;1;1;0;0;3;1;1;71;448;150;81;62;82;19;8;9;2;5;30;448;427;173;121;42;22;5;8;2;23;21;10;427;13;7;1;1;0;0;1;1;0;0;2;13;40;34;2;1;0;0;0;1;1;1;0;40;11;7;3;1;0;0;0;0;0;0;0;11
140501;6;miasto;stały;Szkoła Podstawowa Nr 1, ul. Królewska 69, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1469;1927;1927;0;285;1184;1184;0;0;0;0;0;0;0;0;0;0;1184;0;0;1184;4;3;1;0;1180;65;49;5;2;0;0;0;1;1;1;6;65;118;85;10;18;3;1;0;1;0;0;0;118;484;150;97;82;93;16;8;3;3;8;24;484;428;175;137;38;21;2;9;2;10;30;4;428;14;12;0;0;0;0;1;0;0;0;1;14;52;30;2;1;5;0;0;1;0;12;1;52;19;12;3;0;1;1;1;0;0;1;0;19
140501;7;miasto;stały;Archiwum Dokumentacji Osobowej i Płacowej w Milanówku, Okrzei 1, 05-822 Milanówek;m. Milanówek;grodziski;mazowieckie;1329;1729;1728;1;345;984;983;1;0;6;0;0;0;0;0;0;0;984;0;0;984;0;0;0;0;984;59;42;2;0;2;2;0;0;0;0;11;59;108;75;13;18;0;0;1;0;1;0;0;108;389;116;82;67;72;10;4;4;3;2;29;389;352;121;128;44;16;5;5;0;14;13;6;352;13;12;0;0;0;0;0;0;0;0;1;13;47;34;3;3;1;1;1;1;2;0;1;47;16;12;0;1;1;0;1;0;1;0;0;16
140502;1;miasto;stały;Centrum Kultury i Inicjatyw Obywatelskich w Podkowie Leśnej, ul. Świerkowa 1, 05-807 Podkowa Leśna;m. Podkowa Leśna;grodziski;mazowieckie;1275;1592;1587;5;165;1110;1108;2;1;14;0;0;0;0;0;0;0;1110;0;1;1109;11;7;4;0;1098;40;23;6;0;1;3;0;1;0;0;6;40;119;90;12;13;1;2;0;0;0;1;0;119;568;166;86;91;125;54;7;6;0;3;30;568;293;128;68;39;14;3;11;2;13;13;2;293;29;20;3;1;0;0;0;0;0;0;5;29;39;28;4;0;1;1;1;0;1;0;3;39;10;8;0;0;1;1;0;0;0;0;0;10
140502;2;miasto;stały;Szkoła Podstawowa w Podkowie Leśnej, ul. Jana Pawła II 20, 05-807 Podkowa Leśna;m. Podkowa Leśna;grodziski;mazowieckie;1173;1521;1519;2;98;1075;1074;1;2;16;1;1;0;0;0;0;1;1076;1;0;1076;3;0;3;0;1073;30;16;3;0;0;0;0;0;0;0;11;30;98;58;16;21;0;1;0;1;0;1;0;98;560;125;72;96;192;35;3;7;2;5;23;560;293;138;62;37;14;6;6;1;7;19;3;293;28;19;1;1;0;1;1;1;0;1;3;28;39;25;3;1;1;2;1;0;0;4;2;39;25;20;3;0;1;0;1;0;0;0;0;25
140503;1;wieś;stały;Szkoła Podstawowa w Baranowie, Armii Krajowej 49, 96-314 Baranów;gm. Baranów;grodziski;mazowieckie;1021;1333;1333;0;473;548;548;0;0;0;0;0;0;0;0;0;0;548;0;0;548;2;1;1;0;546;31;16;0;2;0;2;3;3;0;2;3;31;34;22;4;3;0;0;2;0;0;1;2;34;133;50;16;14;19;5;1;0;1;3;24;133;294;63;144;22;15;8;13;2;7;8;12;294;7;2;1;0;1;0;1;0;0;0;2;7;35;14;4;4;3;0;3;2;2;2;1;35;12;2;2;0;0;5;1;0;0;0;2;12
