Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 GODEK Kaja Urszula;2 BŁASZCZYK Stefan;3 SZEWCZYK Marek Wacław;4 ZALEŚNA Katarzyna Anna;5 KORWIN-MIKKE Jacek Baltazar;6 STRUS Sylwia;7 NITECKA Ewa Alicja;8 WITASZEK Sławomir;9 DRZEWIŃSKI Piotr Michał;10 MOJZESOWICZ Wojciech;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 PIECHNA-WIĘCKIEWICZ Paulina Krystyna;2 FAJDEK Patryk;3 ŻMIJEWSKA Aleksandra Małgorzata;4 GRYCHTAL Sławomir Włodzimierz;5 ŻABICKA Monika Maria;6 KARNIEWICZ Mateusz;7 PIASECKA Anna;8 MAĆKOWIAK Patryk;9 ZIEMNICKA Małgorzata Maria;10 MARZEC Marcin;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 KALINOWSKI Jarosław;2 ROSATI Dariusz Kajetan;3 SITARSKI Ireneusz Robert;4 KALINOWSKA Katarzyna;5 WOJTUNIK Paweł;6 KUBALEWSKI Wojciech Marian;7 UCHWAŁ Aneta;8 LANC Elżbieta;9 KRASKA-ROMANOWSKA Beata;10 HIBNER Jolanta Emilia;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 BIELAN Adam Jerzy;2 KOC Maria Zofia;3 KUŹMIUK Zbigniew Krzysztof;4 MAŁECKI Maciej;5 KWIECIEŃ Anna;6 CZARTORYSKI Arkadiusz;7 WARGOCKA Teresa Anna;8 KRZĘTOWSKA Agnieszka Maria;9 ROMANOWSKI Rafał;10 OPIOŁA Marek;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 OLKO Dorota Zofia;2 DOBROWOLSKI Mateusz;3 ŻYTKOWSKA-PRUS Anna Izabela;4 PIÓROWICZ Jerzy Wojciech;5 ADAMCZYK Małgorzata Joanna;6 TRYSIŃSKI Piotr;7 KOSIEC Justyna Agnieszka;8 MATYJASZEK Artur Mariusz;9 SARNOWSKA Weronika Natalia;10 PŁATOS Sławomir;Razem;Lista nr 6 - KWW KUKIZ'15;1 HUSIEW Barbara;2 PIŁKA Marian;3 PATER Agata Bożena;4 LECHOWSKI Krzysztof Grzegorz;5 KLIMKOWSKI Sławomir;6 BORDZIO-BERUS Irena;7 FRYDRYK Jakub;8 JĘDRZEJEWSKI Robert Witold;9 POMORSKA Karolina Agnieszka;10 SANKOWSKA-GRABCZUK Lidia Izabela;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 ROSIEWICZ Andrzej Wacław;2 GAJOWNICZEK Krzysztof;3 BUDZYŃSKA Jadwiga Barbara;4 KLOCH Adam Roman;5 MARCINIAK Elżbieta;6 KŁOBUKOWSKI Paweł;7 DŁUGOŁĘCKI Mariusz;8 LENART Karolina;9 KĘPA Justyna Joanna;10 KOWALIK Rafał Grzegorz;Razem;Lista nr 10 - KW JEDNOŚĆ NARODU;1 STAROSIELEC Romuald Tadeusz;2 POŁANECKI Paweł Mieczysław;3 ŻEBROWSKA Irena Małgorzata;4 CIECHANOWICZ Jan;5 SZMIGIEL Beata;6 MACIEJEWSKI Jakub;7 MAROSZEK Adam Jarosław;8 RACZYŃSKA Jolanta;9 SZCZYPIÓR Jolanta Elżbieta;10 JANOWSKI Gabriel;Razem
140101;1;miasto;stały;Publiczna Szkoła Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Białobrzegach, ul. Rzemieślnicza 21/31, 26-800 Białobrzegi;gm. Białobrzegi;białobrzeski;mazowieckie;1178;1534;1534;0;407;771;771;0;1;10;0;0;0;0;0;0;0;771;0;0;771;3;2;1;0;768;20;9;5;0;1;1;1;2;0;0;1;20;23;7;5;1;0;2;1;1;3;2;1;23;322;24;14;3;0;275;0;3;0;0;3;322;378;122;12;226;5;5;2;1;2;2;1;378;7;4;2;0;0;1;0;0;0;0;0;7;13;3;3;0;3;0;2;0;1;0;1;13;5;2;0;2;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
140101;2;miasto;stały;Publiczne Przedszkole Nr 2 im. Kubusia Puchatka w Białobrzegach, ul. Marii Konopnickiej 1, 26-800 Białobrzegi;gm. Białobrzegi;białobrzeski;mazowieckie;1368;1778;1777;1;502;866;866;0;0;3;0;0;0;0;0;0;0;866;0;0;866;10;7;3;0;856;38;14;8;2;1;12;0;0;0;0;1;38;24;10;3;3;0;2;0;3;1;1;1;24;317;35;13;1;4;256;1;2;0;0;5;317;452;151;13;250;9;16;2;2;4;5;0;452;4;0;1;0;0;0;1;0;0;1;1;4;18;5;4;2;1;2;1;0;2;1;0;18;2;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1
140101;3;miasto;stały;Publiczna Szkoła Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Białobrzegach, ul. Rzemieślnicza 21/31, 26-800 Białobrzegi;gm. Białobrzegi;białobrzeski;mazowieckie;1045;1399;1399;0;454;591;591;0;0;18;0;0;0;0;0;0;0;591;0;0;591;7;5;2;0;584;24;10;3;1;2;7;0;0;1;0;0;24;13;5;1;3;0;0;0;1;0;1;2;13;176;17;15;0;5;133;0;1;0;0;5;176;354;68;9;232;12;24;0;0;1;4;4;354;1;1;0;0;0;0;0;0;0;0;0;1;13;3;3;1;2;1;2;0;0;1;0;13;2;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1
140101;4;miasto;stały;Miejsko-Gminny Ośrodek Kultury w Białobrzegach, ul. Kościelna 31, 26-800 Białobrzegi;gm. Białobrzegi;białobrzeski;mazowieckie;1394;1820;1820;0;491;903;903;0;0;6;0;0;0;0;0;0;0;903;0;0;903;6;1;5;0;897;29;8;3;0;0;15;0;1;0;2;0;29;20;12;3;0;0;2;1;0;0;1;1;20;334;33;12;2;1;279;1;0;0;0;6;334;477;156;11;263;6;29;4;1;1;2;4;477;5;1;2;0;0;0;0;0;0;2;0;5;24;12;3;1;3;1;0;1;0;0;3;24;8;2;1;1;1;3;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
140101;5;wieś;stały;Publiczna Szkoła Podstawowa w Suchej, Sucha ul. Szlachecka 88A, 26-800 Białobrzegi;gm. Białobrzegi;białobrzeski;mazowieckie;1225;1608;1608;0;569;656;656;0;0;2;0;0;0;0;0;0;0;656;0;0;656;9;7;2;0;647;9;4;0;1;0;4;0;0;0;0;0;9;14;5;4;0;0;1;0;2;0;0;2;14;165;26;7;0;1;125;1;1;0;0;4;165;436;162;11;232;6;11;7;3;1;3;0;436;4;1;1;0;0;1;0;1;0;0;0;4;16;4;3;2;4;0;3;0;0;0;0;16;1;1;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;2
140101;6;wieś;oddział zewnętrzny aresztu śledczego;Oddział Zewnętrzny w Stawiszynie, Stawiszyn 31C, 26-800 Białobrzegi;gm. Białobrzegi;białobrzeski;mazowieckie;179;178;178;0;105;74;74;0;0;0;0;0;0;0;0;0;0;74;0;0;74;1;1;0;0;73;3;1;0;0;0;1;1;0;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0;2;56;26;18;1;2;0;0;3;2;2;2;56;4;2;0;0;1;0;1;0;0;0;0;4;2;1;1;0;0;0;0;0;0;0;0;2;5;2;2;0;0;0;0;0;0;1;0;5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
140102;1;wieś;stały;Urząd Gminy w Promnie, Promna-Kolonia 5, 26-803 Promna;gm. Promna;białobrzeski;mazowieckie;1576;2071;2071;0;721;855;855;0;0;7;0;0;0;0;0;0;0;855;0;0;855;4;2;2;0;851;41;22;2;2;0;12;0;3;0;0;0;41;15;6;3;0;0;3;0;1;0;0;2;15;237;144;19;1;5;63;0;1;0;0;4;237;523;191;20;251;11;27;7;1;4;6;5;523;3;1;0;0;1;1;0;0;0;0;0;3;27;12;4;1;2;1;3;1;2;0;1;27;5;2;0;1;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0
140102;2;wieś;stały;Remiza OSP w Olszamach, Olszamy 23, 05-610 Goszczyn;gm. Promna;białobrzeski;mazowieckie;656;859;859;0;308;348;348;0;0;0;0;0;0;0;0;0;0;348;0;0;348;1;0;1;0;347;14;4;1;0;1;6;0;0;0;0;2;14;4;0;0;0;0;1;0;2;0;0;1;4;59;39;6;1;1;12;0;0;0;0;0;59;252;72;9;152;4;7;2;2;1;3;0;252;0;0;0;0;0;0;0;0;0;0;0;0;17;6;4;1;1;1;0;0;0;3;1;17;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
140102;3;wieś;stały;Świetlica wiejska, Lisów 4A, 05-610 Goszczyn;gm. Promna;białobrzeski;mazowieckie;559;724;724;0;273;285;285;0;0;0;0;0;0;0;0;0;0;286;0;0;286;6;2;4;0;280;10;5;0;0;0;4;1;0;0;0;0;10;2;1;0;0;0;0;0;1;0;0;0;2;56;27;6;1;2;17;1;1;0;0;1;56;206;40;2;149;2;6;1;1;2;2;1;206;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
140102;4;wieś;stały;Szkoła Podstawowa w Przybyszewie, Przybyszew ul. Władysława Rosłońca 5, 26-803 Promna;gm. Promna;białobrzeski;mazowieckie;625;826;826;0;289;336;336;0;0;1;0;0;0;0;0;0;0;336;0;0;336;5;2;3;0;331;8;4;2;0;0;2;0;0;0;0;0;8;8;4;0;0;0;0;1;2;0;1;0;8;43;23;2;1;2;14;0;0;0;0;1;43;263;72;5;179;2;3;2;0;0;0;0;263;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;1;0;1;0;0;0;1;0;8;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
