Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 UTECHT Waldemar Arkadiusz;2 GIEROWSKI Rafał;3 GRABARCZYK Tomasz Michał;4 WALCZAK Izabela Anna;5 LIPCZYK Zbigniew Jerzy;6 KORWIN-MIKKE Anna;7 MAZUR Joanna Sylwia;8 HEINZEL Alicja Anna;9 BARTOSIAK Tomasz;10 MARJAN Patryk Piotr;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 SOWIŃSKA Anita Katarzyna;2 IDZIKOWSKI Wiktor;3 GILL-PIĄTEK Hanna Beata;4 KNAPIK Aleksandra Alicja;5 SOKOŁOWICZ Mariusz Paweł;6 DE LAZARI-RADEK Katarzyna Anna;7 HAJNCEL Paweł Wojciech;8 ŻURAW Elżbieta Małgorzata;9 PIETRZAK Michał Damian;10 WAWRYKA Dawid;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 BELKA Marek Marian;2 BEJDA Paweł Jan;3 SKRZYDLEWSKA Joanna Katarzyna;4 GAŁKIEWICZ Magdalena Anna;5 STASIAK Aleksandra Małgorzata;6 GOŁASZEWSKI Marcin Łukasz;7 RUTKOWSKA Dorota;8 STASIAK Marta Katarzyna;9 MATUSIAK Karolina Daria;10 STĘPIEŃ Witold Heronim;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 WASZCZYKOWSKI Witold Jan;2 KOPCIŃSKA Joanna Maria;3 KRUPA Urszula Irena;4 DRÓŻDŻ Beata Zofia;5 WOJCIECHOWSKI Grzegorz Michał;6 SAGAN Marlena Barbara;7 RUDALSKI Wojciech Bogdan;8 SZYMCZYK Krzysztof Feliks;9 ANTCZAK Alicja Elżbieta;10 MATEUSIAK-PIELUCHA Beata Anna;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 IKONOWICZ Piotr Igor;2 KRYSIAK Wioleta Magdalena;3 SIKORA Anna Iwona;4 GANICZ Tomasz;5 PANAK Marta;6 SULKA Monika Zofia;7 RACHALEWSKI Michał Cezary;8 URBAŃCZYK Martyna Natalia;9 MIRYS Mateusz Piotr;Razem;Lista nr 6 - KWW KUKIZ'15;1 APEL Piotr Daniel;2 JĘDRASIK Krzysztof Piotr;3 WYCHOWAŁEK Paweł;4 WALCZAK Joanna Izabela;5 GŁOWACKI Tomasz Bogdan;6 NOWICKA Jolanta Maria;7 DRAB Maksymilian Hubert;8 AUGUŚCIK Jagoda;9 KULESZKA Agata;10 PAŚNICKI Michał Wiktor;Razem
100101;1;miasto;stały;II Liceum Ogólnokształcące, ul. Czapliniecka 72, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1320;1672;1672;0;422;898;898;0;0;3;0;0;0;0;0;0;0;898;0;0;898;4;4;0;0;894;38;2;0;3;1;0;1;0;0;0;31;38;61;30;7;4;6;0;1;2;3;3;5;61;371;236;25;83;3;6;7;1;2;2;6;371;390;182;133;14;11;12;10;2;1;3;22;390;16;11;2;2;0;0;0;1;0;0;16;18;9;3;0;2;1;0;0;2;1;0;18
100101;2;miasto;stały;II Liceum Ogólnokształcące., ul. Czapliniecka 72, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1125;1451;1451;0;610;515;515;0;0;0;0;0;0;0;0;0;0;515;0;0;515;9;9;0;0;506;34;4;2;0;1;0;0;0;1;0;26;34;16;6;1;3;1;1;1;0;0;3;0;16;91;49;9;25;2;1;0;1;2;1;1;91;335;140;126;11;8;15;10;4;2;5;14;335;8;3;2;0;1;2;0;0;0;0;8;22;11;2;0;3;2;1;1;0;1;1;22
100101;3;miasto;stały;Szkoła Podstawowa Nr 4, ul. Lipowa 11, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1540;1980;1980;0;578;962;962;0;3;4;0;0;0;0;0;0;0;962;0;0;962;7;7;0;0;955;64;2;2;0;0;0;1;0;0;1;58;64;31;17;3;1;3;2;1;0;0;1;3;31;278;182;16;67;1;2;1;1;1;4;3;278;532;162;241;17;29;21;11;5;7;1;38;532;20;14;3;1;1;0;1;0;0;0;20;30;12;2;2;4;3;1;1;1;1;3;30
100101;4;miasto;stały;Szkoła Podstawowa Nr 8, os. Dolnośląskie 112A, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1360;1701;1701;0;534;826;826;0;0;2;0;0;0;0;0;0;0;826;0;0;826;9;6;3;0;817;64;6;6;1;2;0;4;0;0;1;44;64;21;9;4;0;4;0;0;0;1;1;2;21;201;135;2;50;1;5;2;1;3;1;1;201;482;161;218;21;24;17;12;0;5;4;20;482;23;13;3;3;0;1;2;0;1;0;23;26;14;4;2;0;0;0;0;2;4;0;26
100101;5;miasto;stały;Samorządowy Zespół Szkół Ogólnokształcących Nr 2, ul. Edwardów 5, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1400;1780;1780;0;554;846;846;0;0;1;0;0;0;0;0;0;0;846;0;0;846;5;1;4;0;841;71;2;1;0;0;0;0;1;0;1;66;71;34;15;3;2;4;3;3;0;0;3;1;34;228;140;7;52;3;8;2;2;1;6;7;228;473;154;223;10;17;18;8;1;0;1;41;473;16;10;0;4;0;1;0;0;1;0;16;19;3;0;2;3;3;1;0;4;3;0;19
100101;6;miasto;stały;Samorządowy Zespół Szkół Ogólnokształcących Nr 2, ul. Edwardów 5, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1365;1715;1715;0;527;838;838;0;0;0;0;0;0;0;0;0;0;838;0;0;838;6;3;3;0;832;39;9;0;1;0;0;0;0;0;1;28;39;29;16;1;2;3;2;1;0;0;1;3;29;273;198;8;58;1;1;0;2;1;2;2;273;440;192;154;8;28;18;7;1;1;5;26;440;24;13;5;2;1;0;0;2;1;0;24;27;13;1;1;3;0;1;1;3;2;2;27
100101;7;miasto;stały;Przedszkole Samorządowe Nr 5, os. Dolnośląskie 222a, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1278;1617;1617;0;530;748;748;0;0;1;0;0;0;0;0;0;0;748;0;0;748;3;2;1;0;745;68;7;1;2;2;0;0;0;1;0;55;68;33;21;1;2;3;1;3;0;1;0;1;33;207;134;11;51;1;1;3;1;0;1;4;207;404;174;156;9;8;15;7;0;2;3;30;404;12;8;0;1;0;0;0;0;2;1;12;21;6;2;0;5;1;1;0;0;3;3;21
100101;8;miasto;stały;Zespół Szkolno-Przedszkolny Nr 9, os. Dolnośląskie 204A, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1278;1628;1628;0;530;748;748;0;0;0;0;0;0;0;0;0;0;748;0;0;748;8;6;2;0;740;58;2;2;0;0;1;4;0;0;0;49;58;27;12;1;0;2;1;1;2;1;1;6;27;174;124;8;29;1;2;1;2;2;2;3;174;446;134;180;9;43;21;5;2;7;5;40;446;10;10;0;0;0;0;0;0;0;0;10;25;11;3;0;4;3;2;0;0;1;1;25
100101;9;miasto;stały;Zespół Szkolno-Przedszkolny Nr 9, os. Dolnośląskie 204A, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1233;1552;1552;0;459;774;774;0;0;0;0;0;0;0;0;0;0;774;0;0;774;10;8;2;0;764;95;4;2;0;3;2;3;0;3;1;77;95;34;17;1;4;9;0;0;2;1;0;0;34;176;117;8;39;2;0;2;2;2;2;2;176;433;170;156;15;27;19;9;0;3;8;26;433;11;9;1;0;0;0;1;0;0;0;11;15;7;1;1;3;0;1;0;1;1;0;15
100101;10;miasto;stały;Zespół Szkolno-Przedszkolny Nr 9, os. Dolnośląskie 204A, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1340;1704;1704;0;567;773;773;0;0;2;0;0;0;0;0;0;0;773;0;0;773;4;1;3;0;769;51;3;0;2;6;0;1;1;0;0;38;51;23;10;2;1;2;1;0;0;3;1;3;23;146;87;8;43;1;2;0;0;4;0;1;146;505;190;198;18;31;17;11;2;3;2;33;505;12;6;3;0;1;1;0;0;0;1;12;32;17;1;1;5;0;2;0;0;6;0;32
