Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 TUMANOWICZ Witold Sławomir;2 PEJO Bartłomiej Artur;3 OSADCZY Włodzimierz;4 WIŚLIŃSKA Natalia Anna;5 CHOJNACKA Magdalena;6 TYLUS Małgorzata Aneta;7 MARCINIUK Agnieszka Monika;8 MEKLER Rafał;9 JANULEWICZ Paweł Rafał;10 KASPRZAK Krzysztof Grzegorz;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 BUJAK Zbigniew;2 PAWŁOWSKA Monika Jolanta;3 KITLIŃSKI Tomasz;4 IWUŁA Barbara Małgorzata;5 PIETRASIEWICZ Szymon Eliasz;6 BRYZEK Paulina Anna;7 WIŚNIEWSKI Krzysztof Łukasz;8 JASEK-KOSOBUCKA Justyna;9 GRZEGORCZYK Paweł Marian;10 WALASEK Marcin;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 HETMAN Krzysztof Andrzej;2 MUCHA Joanna;3 HAIDAR Riad;4 MAZUR Artur;5 LISOWSKA Bożena Grażyna;6 KARPIŃSKI Włodzimierz Witold;7 ŻMIJAN Stanisław;8 ĆWIK Sławomir;9 SZMIDT Anna;10 WRÓBLEWSKA Kornelia Konstancja;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 KRUK Elżbieta Małgorzata;2 MAZUREK Beata;3 SOLIS Tomasz Piotr;4 BARSZCZEWSKA Barbara Aldona;5 SZULOWSKI Krzysztof;6 ZAWIŚLAK Sławomir;7 STANISŁAWEK Andrzej Józef;8 REWERA Witold;9 SZAŁACHWIEJ Ewa;10 DUSZEK Marcin Kamil;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 DŁUGOSZ Magdalena Anna;2 ROCZON Mateusz Maciej;3 ZABRATAŃSKA Katarzyna Edyta;4 KACZYŃSKI Gabriel Jan;5 REBEJKO Jolanta;6 LEWANDOWSKI Marian;7 TABOR Magdalena Aleksandra;8 WARZOCHA Tomasz Piotr;9 ZELENT Magdalena;10 FURMANIAK Szymon;Razem;Lista nr 6 - KWW KUKIZ'15;1 SACHAJKO Jarosław;2 GOGÓŁKA Robert Mirosław;3 BERECKA Barbara;4 KUNC Joanna;5 MARKIEWICZ Jarosław Szczepan;6 WSZELAKA Małgorzata Anna;7 WIELICZKO Mariusz;8 KOZIOŁ Zdzisława Konstancja;9 ORDECKI Piotr;10 WILBIK Marek;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 WOCH Marek Marian;2 FUTERA Joanna Monika;3 MAZUR Agnieszka Monika;4 SOWA Justyna;5 SZWAJEWSKA Małgorzata Anna;6 ZIĘTEK Maria;7 PIETROSIŃSKI Marcin Jakub;8 IWANIAK Paweł;9 ZIELIŃSKI Piotr;10 POPIELEC Przemysław;Razem;Lista nr 8 - KW RUCH PRAWDZIWA EUROPA-EUROPA CHRISTI;1 PIOTROWSKI Mirosław Mariusz;2 GRĄDZIEL ZAWADA Elżbieta;3 MERKUN Sławomir Grzegorz;4 DUDZIŃSKA Jolanta Grażyna;5 KUBALA Paweł;Razem
060101;1;miasto;stały;Samorządowe Przedszkole Nr 2 w Międzyrzecu Podlaskim, ul. Przedszkolna 2, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;1201;1575;1575;0;526;675;675;0;0;7;0;0;0;0;0;0;0;675;0;0;675;0;0;0;0;675;29;17;3;2;2;0;1;1;2;0;1;29;15;8;2;2;1;1;0;0;0;0;1;15;195;33;27;82;3;0;0;38;0;0;12;195;414;107;84;3;36;0;1;1;0;1;181;414;2;0;0;0;0;1;1;0;0;0;0;2;18;12;1;0;1;0;0;1;2;0;1;18;2;2;0;0;0;0;0;0;0;0;0;2;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;2;miasto;stały;Liceum Ogólnokształcące w Międzyrzecu Podlaskim, ul. Lubelska 57, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;513;670;670;0;256;257;257;0;0;1;0;0;0;0;0;0;0;257;0;0;257;2;2;0;0;255;7;3;1;0;0;3;0;0;0;0;0;7;3;0;2;0;0;0;0;1;0;0;0;3;58;10;8;17;0;0;0;13;0;0;10;58;179;41;48;2;18;1;2;1;0;0;66;179;1;1;0;0;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0;0;1;1;2;6;1;0;0;1;0;0;0;0;0;0;0;1;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;3;miasto;stały;Zespół Szkół Technicznych w Międzyrzecu Podlaskim, ul. Warszawska 30, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;568;747;747;0;212;356;356;0;2;0;0;0;0;0;0;0;0;356;0;0;356;3;1;1;1;353;10;5;1;0;0;1;0;1;1;1;0;10;2;1;1;0;0;0;0;0;0;0;0;2;120;14;16;57;1;1;0;18;0;1;12;120;209;47;64;0;12;0;0;0;0;2;84;209;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;1;0;0;0;0;1;1;1;10;2;1;0;1;0;0;0;0;0;0;0;2;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;4;miasto;stały;Sala gimnastyczna Zespołu Placówek Oświatowych Nr 1 w Międzyrzecu Podlaskim, ul. Warszawska 40, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;688;880;880;0;307;381;381;0;0;0;0;0;0;0;0;0;0;381;0;0;381;7;4;2;1;374;14;6;0;2;1;0;0;2;0;1;2;14;7;0;1;0;0;0;0;3;1;0;2;7;92;13;9;28;0;0;0;27;0;2;13;92;249;68;63;2;10;0;1;0;0;0;105;249;1;1;0;0;0;0;0;0;0;0;0;1;8;5;0;0;1;0;0;0;0;0;2;8;3;2;0;1;0;0;0;0;0;0;0;3;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;5;miasto;stały;Zespół Szkół Ekonomicznych w Międzyrzecu Podlaskim, ul. 3 - go Maja 40/42, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;1358;1781;1781;0;511;847;847;0;1;2;0;0;0;0;0;0;0;847;0;0;847;7;3;3;1;840;40;15;5;2;2;1;1;4;5;1;4;40;14;10;3;0;0;0;0;0;0;0;1;14;205;47;19;69;1;1;0;47;1;0;20;205;549;108;157;1;49;0;0;7;0;2;225;549;3;3;0;0;0;0;0;0;0;0;0;3;27;18;1;1;1;0;1;0;2;1;2;27;2;1;0;0;0;0;0;1;0;0;0;2;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;6;miasto;stały;Zespół Placówek Oświatowych Nr 3 w Międzyrzecu Podlaskim, ul. Leśna 2, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;1429;1871;1871;0;592;837;837;0;2;4;1;1;0;0;0;0;1;838;1;0;838;12;7;5;0;826;35;19;2;3;0;1;0;3;4;1;2;35;21;14;0;2;0;1;0;1;0;0;3;21;214;49;16;96;1;1;0;38;1;0;12;214;509;124;132;0;43;0;0;2;0;1;207;509;8;2;1;0;3;0;2;0;0;0;0;8;31;17;1;1;5;0;1;2;1;2;1;31;8;0;1;1;2;1;0;0;0;0;3;8;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;7;miasto;stały;"Strażnica OSP ""Zawadki"" w Międzyrzecu Podlaskim, ul. Zawadki 8, 21-560 Międzyrzec Podlaski";m. Międzyrzec Podlaski;bialski;lubelskie;734;958;958;0;300;434;434;0;0;0;0;0;0;0;0;0;0;434;0;0;434;3;3;0;0;431;18;7;3;3;1;1;2;1;0;0;0;18;5;0;1;0;0;1;0;1;1;0;1;5;107;23;10;48;1;1;0;14;0;0;10;107;283;59;52;1;17;1;0;3;0;1;149;283;1;0;0;0;0;0;0;0;0;0;1;1;16;12;2;0;0;0;0;2;0;0;0;16;1;0;0;0;0;0;0;0;0;1;0;1;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;8;miasto;stały;Hala sportowa Zespołu Placówek Oświatowych Nr 2 w Międzyrzecu Podlaskim, ul. Partyzantów 8, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;1455;1896;1896;0;584;871;871;0;0;0;0;0;0;0;0;0;0;871;0;0;871;8;1;6;1;863;38;20;8;1;2;1;2;0;1;0;3;38;16;10;4;1;0;0;1;0;0;0;0;16;248;58;14;83;4;1;0;62;0;0;26;248;532;98;142;0;38;0;1;2;1;2;248;532;0;0;0;0;0;0;0;0;0;0;0;0;24;15;0;3;1;0;1;1;1;0;2;24;5;3;0;1;1;0;0;0;0;0;0;5;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;9;miasto;stały;Świetlica Zespołu Placówek Oświatowych Nr 2 w Międzyrzecu Podlaskim, ul. Partyzantów 8, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;639;839;839;0;251;388;388;0;0;1;0;0;0;0;0;0;0;388;0;0;388;4;2;1;1;384;20;14;0;1;3;1;0;0;0;0;1;20;9;7;0;1;0;0;0;0;0;0;1;9;113;29;14;45;0;0;0;19;0;0;6;113;229;46;62;0;12;3;0;1;0;0;105;229;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;1;2;0;0;3;0;0;1;12;1;1;0;0;0;0;0;0;0;0;0;1;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060101;10;miasto;stały;Świetlica Spółdzielni Mieszkaniowej w Międzyrzecu Podlaskim, ul. Prymasa Stefana Wyszyńskiego 7, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;1698;2224;2224;0;611;1087;1087;0;3;5;0;0;0;0;0;0;0;1087;0;0;1087;16;9;6;1;1071;48;21;13;1;1;2;1;1;6;0;2;48;24;16;0;0;0;0;3;0;0;0;5;24;315;60;32;129;2;1;0;71;0;0;20;315;634;117;145;5;36;2;0;1;0;2;326;634;13;3;1;0;4;0;0;2;0;1;2;13;24;18;2;0;1;1;0;0;0;0;2;24;13;5;1;2;3;1;0;0;0;0;1;13;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
