Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 BRAUN Grzegorz Michał;2 BUCZEK Tomasz Wojciech;3 BAŃKA Damian;4 WOLSKA Violetta Katarzyna;5 SOWIŃSKI Wiesław Mieczysław;6 ZAJĄC Monika Magdalena;7 KARDASIŃSKA Marzena;8 PROĆ Tomasz Mirosław;9 ZAPAŁOWSKI Andrzej Tomasz;10 KORWIN-MIKKE Dominika Maria;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 SKIBA Anna Agnieszka;2 JURZYSTA Marcin;3 OLEKSAK Tomasz Robert;4 KWOLEK Katarzyna;5 KRUKAR Radosław Zbigniew;6 GRYCH-BOCHYŃSKA Urszula;7 FIC Patryk Beniamin;8 PROKOPSKA Joanna Maria;9 TERESZKIEWICZ Grzegorz Piotr;10 SKRZYSIŃSKI Gniewomir Marek;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 SIEKIERSKI Czesław Adam;2 SKOWROŃSKA Krystyna;3 USTROBIŃSKI Marek Jerzy;4 JÓZEFOWICZ Maciej Piotr;5 FRYDRYCH Joanna Zofia;6 BUTRYN Renata Celina;7 RZĄSA Marek Zdzisław;8 SZKOŁA Józef;9 ZYCH Barbara;10 ŁUKACIJEWSKA Elżbieta Katarzyna;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 PORĘBA Tomasz Piotr;2 RZOŃCA Bogdan Józef;3 LENIART Ewa Maria;4 PILCH Piotr;5 WRÓBLEWSKA Krystyna Małgorzata;6 GOŁOJUCH Kazimierz Edward;7 PAMUŁA Teresa;8 KRUCZEK Stanisław;9 KUROWSKA Maria Stanisława;10 SAGATOWSKA Janina Zofia;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 WISZ Elżbieta Anna;2 PRENETA Paweł Krzysztof;3 ITNER Agnieszka;4 JASIŃSKI Krzysztof;5 OŻÓG Barbara Katarzyna;6 PACIOCH Hubert Piotr;7 JAKOWICKA Zuzanna Katarzyna;8 GAWRON Jakub;9 RŻANY Monika;10 TUROŃ Arkadiusz;Razem;Lista nr 6 - KWW KUKIZ'15;1 BOBOLA Alicja Maria;2 MASŁOWSKI Maciej Przemysław;3 HELNARSKI Paweł Andrzej;4 BARSZCZAK Bartłomiej Mariusz;5 BIALIC Dariusz Mieczysław;6 NYCZ Ewelina Magdalena;7 SABAT Joanna Karolina;8 WIKTOR Szczepan Antoni;9 KUCAB Konrad Tomasz;10 TARGAŃSKA Magdalena Ewa;Razem;Lista nr 9 - KKW POLEXIT - KOALICJA;1 RYKAŁA Grzegorz Wojciech;2 ŻÓŁTEK Monika Anna;3 KOTYLAK Piotr Jan;4 MICHNO Aneta Joanna;5 CZARNEK Marcin Piotr;6 WIESZCZEK Magdalena;7 DŁUGOSZ Michał Wojciech;8 SZATAN Magdalena Maria;Razem
180103;1;wieś;stały;Gminny Dom Kultury w Czarnej, Czarna Górna 113, 38-710 Czarna;gm. Czarna;bieszczadzki;podkarpackie;760;997;997;0;412;348;348;0;0;5;0;0;0;0;0;0;0;348;0;0;348;3;3;0;0;345;10;6;0;0;0;2;0;0;1;0;1;10;16;6;1;1;4;0;1;0;0;2;1;16;97;38;11;1;1;4;0;0;0;0;42;97;206;65;100;15;3;8;0;1;0;10;4;206;4;1;1;1;0;1;0;0;0;0;0;4;12;5;2;0;0;2;2;0;0;1;0;12;0;0;0;0;0;0;0;0;0;0
180103;2;wieś;stały;Świetlica wiejska w Czarnej Dolnej, Czarna Dolna 32, 38-710 Czarna;gm. Czarna;bieszczadzki;podkarpackie;239;298;298;0;145;94;94;0;0;0;0;0;0;0;0;0;0;94;0;0;94;2;2;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;1;0;0;0;3;28;8;3;4;0;0;0;0;0;0;13;28;55;22;20;3;2;1;0;4;1;2;0;55;1;0;0;0;0;0;0;0;1;0;0;1;5;0;0;0;3;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0
180103;3;wieś;stały;Świetlica wiejska w Polanie, Polana 33, 38-710 Czarna;gm. Czarna;bieszczadzki;podkarpackie;250;326;326;0;78;172;172;0;0;11;0;0;0;0;0;0;0;172;0;0;172;2;1;1;0;170;15;7;0;0;0;8;0;0;0;0;0;15;5;4;0;0;1;0;0;0;0;0;0;5;18;6;1;0;1;1;1;1;0;0;7;18;126;36;56;13;3;5;0;6;0;5;2;126;1;0;0;0;0;0;1;0;0;0;0;1;5;4;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0
180103;4;wieś;stały;Remizo-świetlica w Michniowcu, Michniowiec 4, 38-710 Czarna;gm. Czarna;bieszczadzki;podkarpackie;250;318;318;0;183;67;67;0;0;0;0;0;0;0;0;0;0;67;0;0;67;2;1;1;0;65;3;0;0;0;0;0;0;0;1;0;2;3;1;1;0;0;0;0;0;0;0;0;0;1;9;6;0;0;0;0;0;0;0;0;3;9;51;4;32;6;4;2;0;0;2;0;1;51;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
180105;1;wieś;stały;Gminny Ośrodek Kultury w Lutowiskach, Lutowiska 74A, 38-713 Lutowiska;gm. Lutowiska;bieszczadzki;podkarpackie;629;834;834;0;334;295;295;0;1;19;0;0;0;0;0;0;0;295;0;0;295;2;0;2;0;293;13;7;0;0;0;4;1;0;0;0;1;13;21;15;0;0;2;0;1;0;0;1;2;21;116;42;9;5;5;2;2;6;1;2;42;116;126;39;52;11;4;2;4;6;2;3;3;126;4;2;0;0;0;0;0;0;0;2;0;4;11;6;1;0;2;0;2;0;0;0;0;11;2;0;0;0;1;0;1;0;0;2
180105;2;wieś;stały;Szkolne Schronisko Młodzieżowe w Stuposianach, Stuposiany 9, 38-713 Lutowiska;gm. Lutowiska;bieszczadzki;podkarpackie;340;487;487;0;125;215;215;0;0;43;0;0;0;0;0;0;0;215;0;0;215;2;2;0;0;213;21;9;2;0;0;6;1;0;0;0;3;21;14;3;0;0;4;0;0;1;1;0;5;14;74;24;12;2;0;5;0;3;1;1;26;74;93;32;40;6;1;3;0;3;2;3;3;93;4;0;0;0;0;0;0;0;1;3;0;4;7;3;1;0;1;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
180105;3;wieś;stały;Remiza Strażacka w Dwerniku, Dwernik 34, 38-713 Lutowiska;gm. Lutowiska;bieszczadzki;podkarpackie;170;247;247;0;51;119;119;0;0;11;0;0;0;0;0;0;0;119;0;0;119;2;0;2;0;117;6;5;0;0;0;0;0;0;0;1;0;6;8;4;1;0;1;1;1;0;0;0;0;8;60;22;5;3;0;0;0;3;1;4;22;60;41;7;27;3;0;1;0;1;0;2;0;41;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
180105;4;wieś;stały;Świetlica wiejska w Chmielu, Chmiel 16A, 38-713 Lutowiska;gm. Lutowiska;bieszczadzki;podkarpackie;240;315;314;1;126;114;114;0;0;5;0;0;0;0;0;0;0;114;0;0;114;4;1;3;0;110;3;1;0;0;0;2;0;0;0;0;0;3;6;4;1;0;0;0;0;0;0;1;0;6;26;9;0;0;0;1;0;3;1;0;12;26;69;24;35;0;3;1;1;1;1;2;1;69;1;0;0;0;1;0;0;0;0;0;0;1;5;2;0;0;0;0;0;1;0;1;1;5;0;0;0;0;0;0;0;0;0;0
180108;1;miasto;stały;Przedszkole Nr 2, ul. 29 Listopada 49, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;670;891;891;0;316;354;354;0;0;7;0;0;0;0;0;0;0;354;0;0;354;2;2;0;0;352;34;14;0;1;0;18;0;0;0;1;0;34;18;13;0;2;2;1;0;0;0;0;0;18;114;40;7;7;1;3;2;4;1;0;49;114;175;50;102;12;1;1;3;1;0;5;0;175;0;0;0;0;0;0;0;0;0;0;0;0;10;3;1;1;0;0;1;3;0;1;0;10;1;0;0;1;0;0;0;0;0;1
180108;2;miasto;stały;Hala Sportowa przy Szkole Podstawowej Nr 1, ul. 29 Listopada 19 A, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;610;795;795;0;317;293;293;0;0;5;0;0;0;0;0;0;0;293;0;0;293;6;6;0;0;287;37;17;0;0;1;19;0;0;0;0;0;37;6;3;1;1;0;0;0;1;0;0;0;6;95;27;14;3;0;3;3;3;0;1;41;95;139;64;64;1;3;2;1;0;3;0;1;139;2;1;1;0;0;0;0;0;0;0;0;2;7;1;3;2;0;0;1;0;0;0;0;7;1;0;1;0;0;0;0;0;0;1
